No.,First Name,Epithet (a),+ Noun (a),Epithet (b),+ Noun (b)
108,Neferi,Lone,ranger,Stork,sigil
109,Jilomar,Ivy,bridge,Straw,bale
110,Botherin,Smoke,ridge,Ghost,mound
111,Larissa,Sable,valley,Grand,crescent
112,Dillon,Deep,gorge,Butter,cup(s)
113,Remy,Sharp,thistle,Tender,bud
114,Rex,Bitter,thorn,Umber,brow
115,Gelda,Ginger,petal,Frail,gable
116,Jamila,Sweet,meadow,Chestnut,head
117,Eldon,Rolling,boulder,Glimmer,knife
118,Greta,Smooth,pebble,Tin,spoon
119,Lilly,Acorn,bush,Pepper,pot
120,Hattie,Speckle,bough,Salt,shaker
121,Clarence,Cloven,trunk,Barley,barrel
122,Gus,Winter,vale,Ale,dipper
123,Chester,Spring,leaf,Plum,brew
124,Oliver,Autumn,grove,Ripe,vine
125,Ezra,Summer,orchard,Brush,thatch
126,Abelia,Lily,bank,Flaxen,cape
127,Bertie,Beetle,boots,Even,glory
128,Grint,Brazen,belt,Lunar,flood
129,Cyril,Slow,sack,Coral,rain
130,Alba,Battle,pack,Queens,reign
131,Abner,Dry,fell,Feeble,reins
132,Roscoe,Cherry,falls,Tawny,bridle
133,Wilber,Wild,dove,Gloom,driver
134,Cornel,Dune,fox,Doom,sayer
135,Osgood,Spotted,vole,Grim,guts
136,Hector,Cold,paw,Bleak,blizzard
137,Cruilla,Death,maw,Sombre,fellow
138,Elric,Scar,nape,Chalk,cheeks
139,Mildred,Mild,jape,Slate,jacket
140,Wexton,War,song,Oyster,diver
141,Linus,Thunder,clap,Saffron,flume
142,Wendel,Merry,harp,Dappled,plume
143,Clem(ence),Idle,calm,Ash,grave
144,Percy,Cheese,bread,Lead,tomb
145,Rufus,Rich,larder,Nettle,garden
146,Hal,Poor,plate,Hoar,frost
147,Harvey,Rust,bucket,Morn,singer
148,Megan,Mean,pouch,Under,root
149,Jen,Joy,pocket,Heather,frond
150,Prunila,Pearl,locket,Fat,harvest
151,Loretta,Luck(y),charm,Broken,blade
152,Garret,Long,rope,Hell,throne
153,Faizel,Firm,law,Brisk,bee
154,Rosalind,Rough,scale,Drift,swarm
155,Cyra,Pale,snout,Ample,flock
156,Jasper,Savage,beak,Lame,herd
157,Drusilla,June,bird,Gout,rot
158,Carrick,May,gale,Yellow,belly
159,Roncan,Gentle,rush,Throttle,weed
160,Titiana,Tall,reed,Damsel,sting
161,Tethren,Top,lily,Adder,bite
162,Berrick,Bottom,pond,Smelly,turf
163,Mylo,Mellow,lake,Mink,flayer
164,Elias,Short,beam,Ruin,tracker
165,Gael,Fine,ray,Kin,seer
166,Layla,Fortune,well,Omen,gazer
167,Nanna,Grave,gate,Woe,wanderer
168,Hubert,High,wall,Kind,voyager
169,Avona,Pink,coat,Slug,squisher
170,Gray,Glass,shins,Crystal,fang
171,Thinden,Thrifty,palm,Bristle,noose
172,Derrian,Drizzle,shears,Slip,knot
173,Willy,Wool,shorn,Crinkle,moss
174,Timrin,Tortoise,shell,Lavendar,bark
175,Elrod,Falcon,dive,Lace,gauntlet
176,Jesper,Crown,steward,Loyal,squire
177,Berevan,Arbour,lark,Leal,knight
178,Grenley,Anchor,bay,Cow,halter
179,Solomon,Dread,shore,Bluster,bow
180,Axton,Cleft,coast,Galley,shank
181,Erel,Emerald,hoarder,Rum,runner
182,Tina,Twinkle,toes,Wrinkle,rump
183,Bella,Bay,kite,Fable,joust
184,Krag,Harpy,begotten,Silent,destroyer
185,Cleris,Common,heir,Royal,lance
186,Vixen,Venom,bride,Dun,scabbard
187,Gladwin,Coal,groom,Boar,holm
188,Languedoc,Titan,scion,Fickle,slippers
189,Beyla,Bumble,child,Knoll,strider
190,Ilsa,God,chosen,Air,borne
191,Bolo,Baggy,britches,Moor,jaunt
192,Bea,Biege,breetches,Soot,cowl
193,Roni,Ram,rod,Roan,hood
194,Pippa,Poppy,cock,Snug,hat
195,Scarsen,Shatter,brood,Cur,howl
196,Yunis,Hound,breath,Harrier,talons
197,Quentin,Scrawny,scribe,Siren,conch
198,Phoebe,Flea,home,Cabbage,patch
199,Delewin,Birch,hall,Bent,dirk
200,Wally,Chamber,key,Bile,bladder
201,Otis,Hairy,purse,Weasel,creek
202,Tigga,Troll,spawn,Fey,sworn
203,Reece,Rumble,mage,Spore,sniffer
204,Specky,Spruce,scythe,Murky,moat
205,Peggy,Poison,chalice,Tough,mutton
206,Hamil,Beacon,keeper,Falcon,flare
207,Bethel,Far,flung,Mountain,lair
208,Aldric,Apple,house,Demon,scorned
